"Year","Season","Reg No","Name","Tattoo","CED","CED Acc","BW","BW Acc","WW","WW Acc","YW","YW Acc","Milk","Milk Acc","Total Maternal","Growth Idx"
"2024","20240808","1T237215","ARTESIAN CATTLE C0271211246","1246","-5.493","0.112","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T237218","ARTESIAN CATTLE C0271211249","1249","-3.44","0.077","1.816","0.079","43.288","0.055","79.409","0.009","24.969","0.036","46.613","82.885"
"2024","20240808","1T237221","ARTESIAN CATTLE CO271221252","1252","-5.493","0.112","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T237220","ARTESIAN CATTLE C0271221251","1251","-5.493","0.112","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T237222","ARTESIAN CATTLE C0271221253","1253","-3.44","0.077","1.816","0.079","43.288","0.055","79.409","0.009","24.969","0.036","46.613","82.885"
"2024","20240808","1T237223","ARTESIAN CATTLE CO271221254","1254","-5.493","0.112","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T237224","ARTESIAN CATTLE C0271221255","1255","-5.493","0.112","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T237227","ARTESIAN CATTLE CO271221258","1258","-5.493","0.112","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T237237","ARTESIAN CATTLE CO271221268","1268","-4.479","0.049","1.157","0.042","41.439","0.028","76.617","0.005","25.261","0.019","45.9805","75.67"
"2024","20240808","1T237228","ARTESIAN CATTLE C0271221259","1259","-5.493","0.112","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T237229","ARTESIAN CATTLE CO271221260","1260","-3.44","0.077","1.816","0.079","43.288","0.055","79.409","0.009","24.969","0.036","46.613","82.885"
"2024","20240808","1T237251","ARTESIAN CATTLE C0271221283","1283","-2.35","0.114","1.356","0.088","43.826","0.058","79.483","0.011","23.801","0.036","45.714","75.95"
"2024","20240808","1T237231","ARTESIAN CATTLE CO271221262","1262","-5.493","0.112","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T237238","ARTESIAN CATTLE CO271221270","1270","-7.271","0.09","2.363","0.096","42.654","0.075","78.975","0.012","26.476","0.044","47.803","84.247"
"2024","20240808","1T237232","ARTESIAN CATTLE C0271221263","1263","-4.479","0.049","1.157","0.042","41.439","0.028","76.617","0.005","25.261","0.019","45.9805","75.67"
"2024","20240808","1T237233","ARTESIAN CATTLE CO271221264","1264","-5.493","0.112","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T237247","ARTESIAN CATTLE C0271221279","1279","-2.35","0.114","1.356","0.088","43.826","0.058","79.483","0.011","23.801","0.036","45.714","75.95"
"2024","20240808","1T237234","ARTESIAN CATTLE C0271221265","1265","-4.479","0.049","1.157","0.042","41.439","0.028","76.617","0.005","25.261","0.019","45.9805","75.67"
"2024","20240808","1T237239","ARTESIAN CATTLE C0271221271","1271","-4.479","0.049","1.157","0.042","41.439","0.028","76.617","0.005","25.261","0.019","45.9805","75.67"
"2024","20240808","1T237235","ARTESIAN CATTLE CO271221266","1266","-5.493","0.112","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T237241","ARTESIAN CATTLE C0271221273","1273","-4.479","0.049","1.157","0.042","41.439","0.028","76.617","0.005","25.261","0.019","45.9805","75.67"
"2024","20240808","1T237236","ARTESIAN CATTLE C0271221267","1267","-5.493","0.112","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T237242","ARTESIAN CATTLE CO271221274","1274","-5.127","0.114","2.121","0.076","41.839","0.051","77.366","0.009","27.296","0.039","48.2155","72.536"
"2024","20240808","1T237248","ARTESIAN CATTLE CO271221280","1280","-3.64","0.083","1.616","0.075","48.008","0.053","85.699","0.009","27.755","0.038","51.759","87.347"
"2024","20240808","1T237243","ARTESIAN CATTLE C0271221275","1275","-0.483","0.127","0.9","0.089","41.103","0.061","76.96","0.01","26.9","0.041","47.4515","87.97"
"2024","20240808","1T237246","ARTESIAN CATTLE CO271221278","1278","-5.556","0.108","3.631","0.083","49.272","0.069","87.738","0.012","28.029","0.045","52.665","86.99"
"2024","20240808","1T237256","ARTESIAN CATTLE CO271221288","1288","-2.35","0.114","1.356","0.088","43.826","0.058","79.483","0.011","23.801","0.036","45.714","75.95"
"2024","20240808","1T237250","ARTESIAN CATTLE CO271221282","1282","-0.483","0.127","0.9","0.089","41.103","0.061","76.96","0.01","26.9","0.041","47.4515","87.97"
"2024","20240808","1T237254","ARTESIAN CATTLE CO271221286","1286","0.63","0.115","0.149","0.081","47.262","0.06","84.208","0.01","25.92","0.042","49.551003","86.447"
"2024","20240808","1T237252","ARTESIAN CATTLE CO271221284","1284","-0.483","0.127","0.9","0.089","41.103","0.061","76.96","0.01","26.9","0.041","47.4515","87.97"
"2024","20240808","1T237253","ARTESIAN CATTLE C0271221285","1285","-2.35","0.114","1.356","0.088","43.826","0.058","79.483","0.011","23.801","0.036","45.714","75.95"
"2024","20240808","1T237258","ARTESIAN CATTLE CO271221290","1290","-2.35","0.114","1.356","0.088","43.826","0.058","79.483","0.011","23.801","0.036","45.714","75.95"
"2024","20240808","1T237259","ARTESIAN CATTLE C0271221291","1291","-2.35","0.114","1.356","0.088","43.826","0.058","79.483","0.011","23.801","0.036","45.714","75.95"
"2024","20240808","1T237260","ARTESIAN CATTLE CO271221292","1292","-0.483","0.127","0.9","0.089","41.103","0.061","76.96","0.01","26.9","0.041","47.4515","87.97"
"2024","20240808","1T237261","ARTESIAN CATTLE C0271221293","1293","-4.479","0.049","1.157","0.042","41.439","0.028","76.617","0.005","25.261","0.019","45.9805","75.67"
"2024","20240808","1T237271","ARTESIAN CATTLE C0271221303","1303","-0.483","0.127","0.9","0.089","41.103","0.061","76.96","0.01","26.9","0.041","47.4515","87.97"
"2024","20240808","1T237262","ARTESIAN CATTLE CO271221294","1294","-0.483","0.127","0.9","0.089","41.103","0.061","76.96","0.01","26.9","0.041","47.4515","87.97"
"2024","20240808","1T237263","ARTESIAN CATTLE C0271221295","1295","-0.483","0.127","0.9","0.089","41.103","0.061","76.96","0.01","26.9","0.041","47.4515","87.97"
"2024","20240808","1T237288","ARTESIAN CATTLE R057522S139","S139","-3.799","0.117","2.326","0.077","46.362","0.054","83.911","0.011","26.237","0.037","49.418","91.556"
"2024","20240808","1T237265","ARTESIAN CATTLE C0271221297","1297","-5.556","0.108","3.631","0.083","49.272","0.069","87.738","0.012","28.029","0.045","52.665","86.99"
"2024","20240808","1T237272","ARTESIAN CATTLE CO271221304","1304","-5.127","0.114","2.121","0.076","41.839","0.051","77.366","0.009","27.296","0.039","48.2155","72.536"
"2024","20240808","1T237266","ARTESIAN CATTLE CO271221298","1298","-5.854","0.114","1.465","0.078","43.067","0.052","78.627","0.01","25.212","0.041","46.7455","74.453"
"2024","20240808","1T237267","ARTESIAN CATTLE C0271221299","1299","-2.35","0.114","1.356","0.088","43.826","0.058","79.483","0.011","23.801","0.036","45.714","75.95"
"2024","20240808","1T237279","ARTESIAN CATTLE C0271221311","1311","-2.35","0.114","1.356","0.088","43.826","0.058","79.483","0.011","23.801","0.036","45.714","75.95"
"2024","20240808","1T237268","ARTESIAN CATTLE CO271221300","1300","-2.35","0.114","1.356","0.088","43.826","0.058","79.483","0.011","23.801","0.036","45.714","75.95"
"2024","20240808","1T237273","ARTESIAN CATTLE C0271221305","1305","-5.854","0.114","1.465","0.078","43.067","0.052","78.627","0.01","25.212","0.041","46.7455","74.453"
